uid,name,element,level,cons,weapon,artifacts
5a02951099f511ed8d3c14dda990290e,Tartaglia,Hydro,90,0,Skyward Harp,"Noblesse Oblige, Shimenawa's Reminiscence"
5a02951099f511ed8d3c14dda990290e,Ganyu,Cryo,90,0,Amos' Bow,Wanderer's Troupe
5a02951099f511ed8d3c14dda990290e,Kaedehara Kazuha,Anemo,90,1,Iron Sting,Viridescent Venerer
5a02951099f511ed8d3c14dda990290e,Jean,Anemo,80,2,Dull Blade,Flex
5a02951099f511ed8d3c14dda990290e,Eula,Cryo,80,0,Song of Broken Pines,"Bloodstained Chivalry, Pale Flame"
5a02951099f511ed8d3c14dda990290e,Sangonomiya Kokomi,Hydro,80,0,Thrilling Tales of Dragon Slayers,Tenacity of the Millelith
5a02951099f511ed8d3c14dda990290e,Kamisato Ayato,Hydro,80,0,Haran Geppaku Futsu,Gladiator's Finale
5a02951099f511ed8d3c14dda990290e,Xiangling,Pyro,80,6,"""The Catch""",Emblem of Severed Fate
5a02951099f511ed8d3c14dda990290e,Beidou,Electro,80,5,Luxurious Sea-Lord,"Gladiator's Finale, Noblesse Oblige"
5a02951099f511ed8d3c14dda990290e,Xingqiu,Hydro,80,6,Sacrificial Sword,Noblesse Oblige
5a02951099f511ed8d3c14dda990290e,Fischl,Electro,80,2,Alley Hunter,Tenacity of the Millelith
5a02951099f511ed8d3c14dda990290e,Bennett,Pyro,80,6,The Alley Flash,Noblesse Oblige
5a02951099f511ed8d3c14dda990290e,Sucrose,Anemo,80,6,Hakushin Ring,Viridescent Venerer
5a02951099f511ed8d3c14dda990290e,Rosaria,Cryo,80,4,Favonius Lance,"Gladiator's Finale, Noblesse Oblige"
5a02951099f511ed8d3c14dda990290e,Keqing,Electro,80,0,Lion's Roar,"Gladiator's Finale, Wanderer's Troupe"
5a02951099f511ed8d3c14dda990290e,Nilou,Hydro,80,0,Iron Sting,"Tenacity of the Millelith, Wanderer's Troupe"
5a02951099f511ed8d3c14dda990290e,Shikanoin Heizou,Anemo,80,0,Lost Prayer to the Sacred Winds,"Viridescent Venerer, Flex"
5a02951099f511ed8d3c14dda990290e,Traveler,Dendro,80,3,Favonius Sword,"Gladiator's Finale, Noblesse Oblige"
5a02951099f511ed8d3c14dda990290e,Diona,Cryo,69,3,Sacrificial Bow,"Deepwood Memories, Noblesse Oblige"
5a02951099f511ed8d3c14dda990290e,Kaeya,Cryo,69,0,Dull Blade,"Noblesse Oblige, Flex"
5a02951099f511ed8d3c14dda990290e,Collei,Dendro,69,2,Favonius Warbow,Instructor
5a02951099f511ed8d3c14dda990290e,Tighnari,Dendro,60,0,Prototype Crescent,"Wanderer's Troupe, Flex"
5a02951099f511ed8d3c14dda990290e,Mona,Hydro,50,0,Thrilling Tales of Dragon Slayers,Instructor
5a02951099f511ed8d3c14dda990290e,Lisa,Electro,50,0,Thrilling Tales of Dragon Slayers,
5a02951099f511ed8d3c14dda990290e,Barbara,Hydro,40,2,Apprentice's Notes,
5a02951099f511ed8d3c14dda990290e,Candace,Hydro,40,0,Beginner's Protector,
5a02951099f511ed8d3c14dda990290e,Chongyun,Cryo,20,3,Waster Greatsword,
5a02951099f511ed8d3c14dda990290e,Kujou Sara,Electro,20,3,Hunter's Bow,
5a02951099f511ed8d3c14dda990290e,Aloy,Cryo,20,0,Hunter's Bow,
5a02951099f511ed8d3c14dda990290e,Razor,Electro,20,0,Waster Greatsword,
5a02951099f511ed8d3c14dda990290e,Amber,Pyro,20,2,Fading Twilight,
5a02951099f511ed8d3c14dda990290e,Ningguang,Geo,20,6,Apprentice's Notes,Instructor
5a02951099f511ed8d3c14dda990290e,Noelle,Geo,20,5,Waster Greatsword,
5a02951099f511ed8d3c14dda990290e,Xinyan,Pyro,20,5,Waster Greatsword,
5a02951099f511ed8d3c14dda990290e,Yanfei,Pyro,20,3,Apprentice's Notes,
5a02951099f511ed8d3c14dda990290e,Thoma,Pyro,20,4,Beginner's Protector,
5a02951099f511ed8d3c14dda990290e,Sayu,Anemo,20,1,Waster Greatsword,
5a02951099f511ed8d3c14dda990290e,Yun Jin,Geo,20,0,Beginner's Protector,
5a02951099f511ed8d3c14dda990290e,Kuki Shinobu,Electro,20,0,Dull Blade,
5a02951099f511ed8d3c14dda990290e,Dori,Electro,20,0,Waster Greatsword,
5a02bb3199f511ed8c5314dda990290e,Raiden Shogun,Electro,90,2,Engulfing Lightning,Emblem of Severed Fate
5a02bb3199f511ed8c5314dda990290e,Yae Miko,Electro,90,2,Kagura's Verity,"Gilded Dreams, Wanderer's Troupe"
5a02bb3199f511ed8c5314dda990290e,Lisa,Electro,90,6,Kagura's Verity,"Gladiator's Finale, Thundering Fury"
5a02bb3199f511ed8c5314dda990290e,Beidou,Electro,90,6,Wolf's Gravestone,Emblem of Severed Fate
5a02bb3199f511ed8c5314dda990290e,Kujou Sara,Electro,90,6,Skyward Harp,Emblem of Severed Fate
5a02bb3199f511ed8c5314dda990290e,Kuki Shinobu,Electro,90,2,Dark Iron Sword,Tenacity of the Millelith
5a02bb3199f511ed8c5314dda990290e,Traveler,Dendro,89,5,Sacrificial Sword,"Emblem of Severed Fate, Gilded Dreams"
5a02bb3199f511ed8c5314dda990290e,Jean,Anemo,88,3,Primordial Jade Cutter,Noblesse Oblige
5a02bb3199f511ed8c5314dda990290e,Venti,Anemo,88,4,The Stringless,Viridescent Venerer
5a02bb3199f511ed8c5314dda990290e,Zhongli,Geo,88,0,Staff of Homa,"Gladiator's Finale, Tenacity of the Millelith"
5a02bb3199f511ed8c5314dda990290e,Ganyu,Cryo,88,1,Polar Star,Wanderer's Troupe
5a02bb3199f511ed8c5314dda990290e,Yelan,Hydro,88,0,Aqua Simulacra,"Emblem of Severed Fate, Heart of Depth"
5a02bb3199f511ed8c5314dda990290e,Nahida,Dendro,88,0,Fruit of Fulfillment,Deepwood Memories
5a02bb3199f511ed8c5314dda990290e,Klee,Pyro,80,0,Dodoco Tales,"Crimson Witch of Flames, Gladiator's Finale"
5a02bb3199f511ed8c5314dda990290e,Keqing,Electro,80,4,The Black Sword,"Shimenawa's Reminiscence, Thundersoother"
5a02bb3199f511ed8c5314dda990290e,Kaedehara Kazuha,Anemo,80,0,Sacrificial Sword,Viridescent Venerer
5a02bb3199f511ed8c5314dda990290e,Yoimiya,Pyro,80,0,Rust,Shimenawa's Reminiscence
5a02bb3199f511ed8c5314dda990290e,Sangonomiya Kokomi,Hydro,80,0,Oathsworn Eye,Ocean-Hued Clam
5a02bb3199f511ed8c5314dda990290e,Barbara,Hydro,80,6,Thrilling Tales of Dragon Slayers,"Gladiator's Finale, Ocean-Hued Clam"
5a02bb3199f511ed8c5314dda990290e,Xiangling,Pyro,80,6,"""The Catch""",Emblem of Severed Fate
5a02bb3199f511ed8c5314dda990290e,Xingqiu,Hydro,80,6,Aquila Favonia,Emblem of Severed Fate
5a02bb3199f511ed8c5314dda990290e,Ningguang,Geo,80,6,Solar Pearl,"Archaic Petra, Shimenawa's Reminiscence"
5a02bb3199f511ed8c5314dda990290e,Noelle,Geo,80,6,Serpent Spine,"Archaic Petra, Retracing Bolide"
5a02bb3199f511ed8c5314dda990290e,Diona,Cryo,80,6,Sacrificial Bow,"Emblem of Severed Fate, Maiden Beloved"
5a02bb3199f511ed8c5314dda990290e,Sucrose,Anemo,80,6,Sacrificial Fragments,Viridescent Venerer
5a02bb3199f511ed8c5314dda990290e,Rosaria,Cryo,80,6,Primordial Jade Winged-Spear,Blizzard Strayer
5a02bb3199f511ed8c5314dda990290e,Yanfei,Pyro,80,6,Lost Prayer to the Sacred Winds,"Crimson Witch of Flames, Wanderer's Troupe"
5a02bb3199f511ed8c5314dda990290e,Sayu,Anemo,80,6,Katsuragikiri Nagamasa,Viridescent Venerer
5a02bb3199f511ed8c5314dda990290e,Yun Jin,Geo,80,4,Favonius Lance,Husk of Opulent Dreams
5a02bb3199f511ed8c5314dda990290e,Collei,Dendro,80,2,Fading Twilight,"Deepwood Memories, Gilded Dreams"
5a02bb3199f511ed8c5314dda990290e,Amber,Pyro,79,5,Prototype Crescent,"Crimson Witch of Flames, Wanderer's Troupe"
5a02bb3199f511ed8c5314dda990290e,Fischl,Electro,79,6,Mitternachts Waltz,"Shimenawa's Reminiscence, Thundering Fury"
5a02bb3199f511ed8c5314dda990290e,Xinyan,Pyro,79,6,Whiteblind,"Bloodstained Chivalry, Emblem of Severed Fate"
5a02bb3199f511ed8c5314dda990290e,Candace,Hydro,79,0,Dragon's Bane,"Gilded Dreams, Tenacity of the Millelith"
5a02bb3199f511ed8c5314dda990290e,Bennett,Pyro,70,6,Dull Blade,Noblesse Oblige
5a02bb3199f511ed8c5314dda990290e,Dori,Electro,70,1,Favonius Greatsword,"Emblem of Severed Fate, Thundering Fury"
5a02bb3199f511ed8c5314dda990290e,Qiqi,Cryo,60,1,The Flute,
5a02bb3199f511ed8c5314dda990290e,Razor,Electro,60,6,Sacrificial Greatsword,"Emblem of Severed Fate, Flex"
5a02bb3199f511ed8c5314dda990290e,Chongyun,Cryo,60,6,Prototype Archaic,Blizzard Strayer
5a02bb3199f511ed8c5314dda990290e,Kaeya,Cryo,59,5,Favonius Sword,"Blizzard Strayer, Noblesse Oblige"
5a02bb3199f511ed8c5314dda990290e,Thoma,Pyro,40,6,Black Tassel,Gladiator's Finale
5a02bb3199f511ed8c5314dda990290e,Gorou,Geo,39,2,Favonius Warbow,"Emblem of Severed Fate, Husk of Opulent Dreams"
5a02bb3199f511ed8c5314dda990290e,Diluc,Pyro,21,2,Waster Greatsword,
5a02bb3199f511ed8c5314dda990290e,Aloy,Cryo,20,0,Windblume Ode,
5a02bb3199f511ed8c5314dda990290e,Shikanoin Heizou,Anemo,19,0,The Widsith,Viridescent Venerer
5a02bb3299f511ed815514dda990290e,Kamisato Ayaka,Cryo,90,0,The Black Sword,Blizzard Strayer
5a02bb3299f511ed815514dda990290e,Ganyu,Cryo,90,1,Prototype Crescent,
5a02bb3299f511ed815514dda990290e,Keqing,Electro,90,3,Amenoma Kageuchi,Thundering Fury
5a02bb3299f511ed815514dda990290e,Hu Tao,Pyro,90,1,Primordial Jade Winged-Spear,Crimson Witch of Flames
5a02bb3299f511ed815514dda990290e,Raiden Shogun,Electro,90,1,Dragon's Bane,Gilded Dreams
5a02bb3299f511ed815514dda990290e,Sangonomiya Kokomi,Hydro,90,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam
5a02bb3299f511ed815514dda990290e,Yae Miko,Electro,90,0,The Widsith,Shimenawa's Reminiscence
5a02bb3299f511ed815514dda990290e,Yelan,Hydro,90,0,Elegy for the End,Emblem of Severed Fate
5a02bb3299f511ed815514dda990290e,Nilou,Hydro,90,0,Iron Sting,"Gilded Dreams, Tenacity of the Millelith"
5a02bb3299f511ed815514dda990290e,Klee,Pyro,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex"
5a02bb3299f511ed815514dda990290e,Tartaglia,Hydro,89,0,Skyward Harp,"Heart of Depth, Shimenawa's Reminiscence"
5a02bb3299f511ed815514dda990290e,Albedo,Geo,89,1,Cinnabar Spindle,
5a02bb3299f511ed815514dda990290e,Kaedehara Kazuha,Anemo,89,0,Favonius Sword,Viridescent Venerer
5a02bb3299f511ed815514dda990290e,Nahida,Dendro,89,0,A Thousand Floating Dreams,Deepwood Memories
5a02bb3299f511ed815514dda990290e,Razor,Electro,89,6,Skyward Pride,Gladiator's Finale
5a02bb3299f511ed815514dda990290e,Amber,Pyro,89,1,The Stringless,Noblesse Oblige
5a02bb3299f511ed815514dda990290e,Xiangling,Pyro,89,6,"""The Catch""",Emblem of Severed Fate
5a02bb3299f511ed815514dda990290e,Xingqiu,Hydro,89,6,Sacrificial Sword,Emblem of Severed Fate
5a02bb3299f511ed815514dda990290e,Ningguang,Geo,89,6,Dodoco Tales,Flex
5a02bb3299f511ed815514dda990290e,Fischl,Electro,89,6,Aqua Simulacra,"Gladiator's Finale, Flex"
5a02bb3299f511ed815514dda990290e,Bennett,Pyro,89,5,Favonius Sword,Noblesse Oblige
5a02bb3299f511ed815514dda990290e,Diona,Cryo,89,6,Hunter's Bow,Emblem of Severed Fate
5a02bb3299f511ed815514dda990290e,Sucrose,Anemo,89,6,Sacrificial Fragments,Flex
5a02bb3299f511ed815514dda990290e,Yanfei,Pyro,89,6,Oathsworn Eye,"Crimson Witch of Flames, Flex"
5a02bb3299f511ed815514dda990290e,Kujou Sara,Electro,89,6,Hunter's Bow,Emblem of Severed Fate
5a02bb3299f511ed815514dda990290e,Yun Jin,Geo,89,0,Skyward Spine,"Husk of Opulent Dreams, Shimenawa's Reminiscence"
5a02bb3299f511ed815514dda990290e,Traveler,Dendro,80,5,Kagotsurube Isshin,
5a02bb3299f511ed815514dda990290e,Barbara,Hydro,79,6,Thrilling Tales of Dragon Slayers,Flex
5a02bb3299f511ed815514dda990290e,Beidou,Electro,70,6,Prototype Archaic,
5a02bb3299f511ed815514dda990290e,Qiqi,Cryo,59,2,Toukabou Shigure,
5a02bb3299f511ed815514dda990290e,Aloy,Cryo,50,0,Hunter's Bow,
5a02bb3299f511ed815514dda990290e,Lisa,Electro,50,0,Skyward Atlas,
5a02bb3299f511ed815514dda990290e,Kaeya,Cryo,50,4,Festering Desire,
5a02bb3299f511ed815514dda990290e,Chongyun,Cryo,50,2,Sacrificial Greatsword,
5a02bb3299f511ed815514dda990290e,Xinyan,Pyro,50,5,Serpent Spine,
5a02bb3299f511ed815514dda990290e,Jean,Anemo,40,2,Lion's Roar,
5a02bb3299f511ed815514dda990290e,Noelle,Geo,40,6,White Iron Greatsword,
