uid,name,element,level,cons,weapon,artifacts
3bc3b9aaa3a611ed947428c2dd2980ba,Yoimiya,Pyro,90,1,Thundering Pulse,"Echoes of an Offering, Gladiator's Finale"
3bc3b9aaa3a611ed947428c2dd2980ba,Raiden Shogun,Electro,90,1,Engulfing Lightning,Emblem of Severed Fate
3bc3b9aaa3a611ed947428c2dd2980ba,Fischl,Electro,89,6,The Stringless,"Emblem of Severed Fate, Flex"
3bc3b9aaa3a611ed947428c2dd2980ba,Sangonomiya Kokomi,Hydro,89,0,Prototype Amber,Ocean-Hued Clam
3bc3b9aaa3a611ed947428c2dd2980ba,Yun Jin,Geo,89,6,Skyward Spine,Husk of Opulent Dreams
3bc3b9aaa3a611ed947428c2dd2980ba,Klee,Pyro,90,0,Solar Pearl,Wanderer's Troupe
3bc3b9aaa3a611ed947428c2dd2980ba,Kamisato Ayato,Hydro,90,0,The Black Sword,Gladiator's Finale
3bc3b9aaa3a611ed947428c2dd2980ba,Qiqi,Cryo,80,2,Favonius Sword,Ocean-Hued Clam
3bc3b9aaa3a611ed947428c2dd2980ba,Jean,Anemo,90,2,Toukabou Shigure,Flower of Paradise Lost
3bc3b9aaa3a611ed947428c2dd2980ba,Venti,Anemo,90,0,Elegy for the End,Viridescent Venerer
3bc3b9aaa3a611ed947428c2dd2980ba,Arataki Itto,Geo,90,0,Whiteblind,Husk of Opulent Dreams
3bc3b9aaa3a611ed947428c2dd2980ba,Nahida,Dendro,90,0,The Widsith,"Gilded Dreams, Wanderer's Troupe"
3bc3b9aaa3a611ed947428c2dd2980ba,Wanderer,Anemo,90,1,Lost Prayer to the Sacred Winds,"Viridescent Venerer, Flex"
3bc3b9aaa3a611ed947428c2dd2980ba,Tighnari,Dendro,89,0,Skyward Harp,"Gilded Dreams, Vermillion Hereafter"
3bc3b9aaa3a611ed947428c2dd2980ba,Cyno,Electro,89,1,Missive Windspear,"Gilded Dreams, Wanderer's Troupe"
3bc3b9aaa3a611ed947428c2dd2980ba,Kuki Shinobu,Electro,89,6,Iron Sting,"Wanderer's Troupe, Flex"
3bc3b9aaa3a611ed947428c2dd2980ba,Kamisato Ayaka,Cryo,85,0,Amenoma Kageuchi,Blizzard Strayer
3bc3b9aaa3a611ed947428c2dd2980ba,Xiao,Anemo,81,0,Primordial Jade Winged-Spear,Vermillion Hereafter
3bc3b9aaa3a611ed947428c2dd2980ba,Zhongli,Geo,81,0,Favonius Lance,Deepwood Memories
3bc3b9aaa3a611ed947428c2dd2980ba,Sayu,Anemo,81,6,Wolf's Gravestone,Viridescent Venerer
3bc3b9aaa3a611ed947428c2dd2980ba,Albedo,Geo,80,0,Cinnabar Spindle,Husk of Opulent Dreams
