uid,name,element,level,cons,weapon,artifacts
2ab7bb8abe3511edbef428c2dd2980ba,Zhongli,Geo,90,0,Black Tassel,Tenacity of the Millelith
2ab7bb8abe3511edbef428c2dd2980ba,Tartaglia,Hydro,90,0,Thundering Pulse,"Gladiator's Finale, Heart of Depth"
2ab7bb8abe3511edbef428c2dd2980ba,Ganyu,Cryo,90,0,Amos' Bow,Wanderer's Troupe
2ab7bb8abe3511edbef428c2dd2980ba,Hu Tao,Pyro,90,0,Staff of Homa,Crimson Witch of Flames
2ab7bb8abe3511edbef428c2dd2980ba,Kaedehara Kazuha,Anemo,90,0,Primordial Jade Cutter,"Gladiator's Finale, Viridescent Venerer"
2ab7bb8abe3511edbef428c2dd2980ba,Eula,Cryo,90,0,Luxurious Sea-Lord,"Gladiator's Finale, Pale Flame"
2ab7bb8abe3511edbef428c2dd2980ba,Yae Miko,Electro,90,0,Kagura's Verity,"Noblesse Oblige, Thundering Fury"
2ab7bb8abe3511edbef428c2dd2980ba,Xiangling,Pyro,90,6,"""The Catch""","Crimson Witch of Flames, Noblesse Oblige"
2ab7bb8abe3511edbef428c2dd2980ba,Xingqiu,Hydro,90,6,Sacrificial Sword,"Gladiator's Finale, Heart of Depth"
2ab7bb8abe3511edbef428c2dd2980ba,Fischl,Electro,90,0,The Stringless,Thundering Fury
2ab7bb8abe3511edbef428c2dd2980ba,Bennett,Pyro,90,5,Skyward Blade,Noblesse Oblige
2ab7bb8abe3511edbef428c2dd2980ba,Kujou Sara,Electro,90,2,Fading Twilight,Flex
2ab7bb8abe3511edbef428c2dd2980ba,Shikanoin Heizou,Anemo,90,0,Sacrificial Fragments,Viridescent Venerer
2ab7bb8abe3511edbef428c2dd2980ba,Yelan,Hydro,90,0,Aqua Simulacra,Emblem of Severed Fate
2ab7bb8abe3511edbef428c2dd2980ba,Traveler,Anemo,90,3,Skyward Blade,"Heart of Depth, Flex"
2ab7bb8abe3511edbef428c2dd2980ba,Venti,Anemo,80,0,Favonius Warbow,Viridescent Venerer
2ab7bb8abe3511edbef428c2dd2980ba,Mona,Hydro,80,2,Favonius Codex,
2ab7bb8abe3511edbef428c2dd2980ba,Razor,Electro,80,5,Waster Greatsword,
2ab7bb8abe3511edbef428c2dd2980ba,Beidou,Electro,80,6,Katsuragikiri Nagamasa,Shimenawa's Reminiscence
2ab7bb8abe3511edbef428c2dd2980ba,Thoma,Pyro,80,6,Blackcliff Pole,
2ab7bb8abe3511edbef428c2dd2980ba,Klee,Pyro,80,0,Dodoco Tales,
2ab7bb8abe3511edbef428c2dd2980ba,Keqing,Electro,80,0,Iron Sting,
2ab7bb8abe3511edbef428c2dd2980ba,Jean,Anemo,80,2,Festering Desire,
2ab7bb8abe3511edbef428c2dd2980ba,Nahida,Dendro,80,0,The Widsith,Deepwood Memories
2ab7bb8abe3511edbef428c2dd2980ba,Diona,Cryo,80,6,Mitternachts Waltz,"Gladiator's Finale, Noblesse Oblige"
2ab7bb8abe3511edbef428c2dd2980ba,Qiqi,Cryo,80,3,Dull Blade,Noblesse Oblige
2ab7bb8abe3511edbef428c2dd2980ba,Rosaria,Cryo,80,6,Skyward Spine,Flex
2ab7bb8abe3511edbef428c2dd2980ba,Kaeya,Cryo,80,1,Favonius Sword,
2ab7bb8abe3511edbef428c2dd2980ba,Ningguang,Geo,80,6,Mappa Mare,"Wanderer's Troupe, Flex"
2ab7bb8abe3511edbef428c2dd2980ba,Yanfei,Pyro,80,6,Eye of Perception,
2ab7bb8abe3511edbef428c2dd2980ba,Diluc,Pyro,70,0,Prototype Archaic,
2ab7bb8abe3511edbef428c2dd2980ba,Sucrose,Anemo,70,6,Thrilling Tales of Dragon Slayers,
2ab7bb8abe3511edbef428c2dd2980ba,Xinyan,Pyro,60,6,Waster Greatsword,
2ab7bb8abe3511edbef428c2dd2980ba,Chongyun,Cryo,60,6,Rainslasher,
2ab7bb8abe3511edbef428c2dd2980ba,Aloy,Cryo,60,0,Sacrificial Bow,
2ab7bb8abe3511edbef428c2dd2980ba,Amber,Pyro,50,1,Alley Hunter,
2ab7bb8abe3511edbef428c2dd2980ba,Barbara,Hydro,50,6,Apprentice's Notes,
2ab7bb8abe3511edbef428c2dd2980ba,Lisa,Electro,50,1,Oathsworn Eye,
2ab7bb8abe3511edbef428c2dd2980ba,Noelle,Geo,50,6,Bloodtainted Greatsword,
2ab7bb8abe3511edbef428c2dd2980ba,Sayu,Anemo,50,6,Sacrificial Greatsword,
2ab7bb8abe3511edbef428c2dd2980ba,Gorou,Geo,50,4,Hunter's Bow,
2ab7bb8abe3511edbef428c2dd2980ba,Collei,Dendro,40,1,Hunter's Bow,
2ab7bb8abe3511edbef428c2dd2980ba,Kuki Shinobu,Electro,40,0,Lion's Roar,
2ab7bb8abe3511edbef428c2dd2980ba,Yun Jin,Geo,40,2,Beginner's Protector,
2ab7bb8abe3511edbef428c2dd2980ba,Candace,Hydro,20,0,Beginner's Protector,
2ab7bb8abe3511edbef428c2dd2980ba,Yaoyao,Dendro,1,0,Beginner's Protector,
2ab7bb8bbe3511ed8f8228c2dd2980ba,Zhongli,Geo,90,0,Deathmatch,Tenacity of the Millelith
2ab7bb8bbe3511ed8f8228c2dd2980ba,Ganyu,Cryo,90,0,Amos' Bow,Wanderer's Troupe
2ab7bb8bbe3511ed8f8228c2dd2980ba,Keqing,Electro,90,2,Lion's Roar,"Shimenawa's Reminiscence, Wanderer's Troupe"
2ab7bb8bbe3511ed8f8228c2dd2980ba,Hu Tao,Pyro,90,0,Dragon's Bane,Crimson Witch of Flames
2ab7bb8bbe3511ed8f8228c2dd2980ba,Kaedehara Kazuha,Anemo,90,0,Iron Sting,Viridescent Venerer
2ab7bb8bbe3511ed8f8228c2dd2980ba,Raiden Shogun,Electro,90,0,"""The Catch""",Emblem of Severed Fate
2ab7bb8bbe3511ed8f8228c2dd2980ba,Sangonomiya Kokomi,Hydro,90,0,Prototype Amber,Ocean-Hued Clam
2ab7bb8bbe3511ed8f8228c2dd2980ba,Arataki Itto,Geo,90,0,Whiteblind,Husk of Opulent Dreams
