uid,floor,chamber,half,ch1,ch2,ch3,ch4
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Kujou Sara,Jean,Yelan
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-1,11-1-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Kujou Sara,Jean,Yelan
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-2,11-2-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Kujou Sara,Jean,Yelan
6d22c90f02a811ee9b2e28c2dd2980ba,11,11-3,11-3-2,Beidou,Lisa,Sangonomiya Kokomi,Traveler
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-1,12-1-2,Kaedehara Kazuha,Yelan,Zhongli,Xiangling
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-2,12-2-2,Kaedehara Kazuha,Lisa,Sangonomiya Kokomi,Xiangling
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Kujou Sara,Kuki Shinobu,Nahida
6d22c90f02a811ee9b2e28c2dd2980ba,12,12-3,12-3-2,Kaedehara Kazuha,Lisa,Sangonomiya Kokomi,Xiangling
6d22eec502a811eea7a628c2dd2980ba,11,11-1,11-1-1,Kamisato Ayaka,Shenhe,Venti,Sangonomiya Kokomi
6d22eec502a811eea7a628c2dd2980ba,11,11-1,11-1-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
