uid,floor,chamber,half,ch1,ch2,ch3,ch4
914a8a251b5711eea09328c2dd2980ba,11,11-1,11-1-1,Hu Tao,Xiangling,Xingqiu,Yelan
914a8a251b5711eea09328c2dd2980ba,11,11-1,11-1-2,Nahida,Keqing,Fischl,Kaedehara Kazuha
914a8a251b5711eea09328c2dd2980ba,11,11-2,11-2-1,Hu Tao,Xiangling,Xingqiu,Yelan
914a8a251b5711eea09328c2dd2980ba,11,11-2,11-2-2,Nahida,Keqing,Fischl,Kaedehara Kazuha
914a8a251b5711eea09328c2dd2980ba,11,11-3,11-3-1,Hu Tao,Xiangling,Xingqiu,Yelan
914a8a251b5711eea09328c2dd2980ba,11,11-3,11-3-2,Nahida,Keqing,Fischl,Kaedehara Kazuha
914a8a251b5711eea09328c2dd2980ba,12,12-1,12-1-1,Nahida,Raiden Shogun,Yelan,Xingqiu
914a8a251b5711eea09328c2dd2980ba,12,12-1,12-1-2,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
914a8a251b5711eea09328c2dd2980ba,12,12-2,12-2-1,Nahida,Raiden Shogun,Xingqiu,Sangonomiya Kokomi
914a8a251b5711eea09328c2dd2980ba,12,12-2,12-2-2,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
914a8a251b5711eea09328c2dd2980ba,12,12-3,12-3-1,Nahida,Raiden Shogun,Yelan,Xingqiu
914a8a251b5711eea09328c2dd2980ba,12,12-3,12-3-2,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
914a8a261b5711eeadbf28c2dd2980ba,11,11-1,11-1-1,Wanderer,Venti,Zhongli,Bennett
914a8a261b5711eeadbf28c2dd2980ba,11,11-1,11-1-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
914a8a261b5711eeadbf28c2dd2980ba,11,11-2,11-2-1,Wanderer,Venti,Zhongli,Bennett
914a8a261b5711eeadbf28c2dd2980ba,11,11-2,11-2-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
914a8a261b5711eeadbf28c2dd2980ba,11,11-3,11-3-1,Wanderer,Venti,Zhongli,Bennett
914a8a261b5711eeadbf28c2dd2980ba,11,11-3,11-3-2,Cyno,Nahida,Xingqiu,Kuki Shinobu
914a8a261b5711eeadbf28c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Fischl,Kaedehara Kazuha,Yaoyao
914a8a261b5711eeadbf28c2dd2980ba,12,12-1,12-1-2,Yoimiya,Nahida,Xingqiu,Bennett
914a8a261b5711eeadbf28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Fischl,Kaedehara Kazuha,Yaoyao
914a8a261b5711eeadbf28c2dd2980ba,12,12-2,12-2-2,Yoimiya,Nahida,Xingqiu,Bennett
914a8a261b5711eeadbf28c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Fischl,Kaedehara Kazuha,Yaoyao
914a8a261b5711eeadbf28c2dd2980ba,12,12-3,12-3-2,Yoimiya,Nahida,Xingqiu,Bennett
914a8a271b5711eeb03028c2dd2980ba,11,11-1,11-1-1,Tighnari,Xingqiu,Traveler,Kuki Shinobu
914a8a271b5711eeb03028c2dd2980ba,11,11-1,11-1-2,Kaedehara Kazuha,Chongyun,Bennett,Faruzan
914a8a271b5711eeb03028c2dd2980ba,11,11-2,11-2-1,Tighnari,Xingqiu,Traveler,Kuki Shinobu
914a8a271b5711eeb03028c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Chongyun,Bennett,Faruzan
914a8a271b5711eeb03028c2dd2980ba,11,11-3,11-3-1,Tighnari,Xingqiu,Traveler,Kuki Shinobu
914a8a271b5711eeb03028c2dd2980ba,11,11-3,11-3-2,Kaedehara Kazuha,Chongyun,Bennett,Faruzan
914a8a271b5711eeb03028c2dd2980ba,12,12-1,12-1-1,Wanderer,Venti,Faruzan,Diona
914a8a271b5711eeb03028c2dd2980ba,12,12-1,12-1-2,Kaedehara Kazuha,Bennett,Xingqiu,Tighnari
914a8a271b5711eeb03028c2dd2980ba,12,12-2,12-2-1,Wanderer,Venti,Faruzan,Diona
914a8a271b5711eeb03028c2dd2980ba,12,12-2,12-2-2,Kaedehara Kazuha,Bennett,Xingqiu,Tighnari
914a8a271b5711eeb03028c2dd2980ba,12,12-3,12-3-1,Wanderer,Venti,Faruzan,Diona
914a8a271b5711eeb03028c2dd2980ba,12,12-3,12-3-2,Kaedehara Kazuha,Bennett,Xingqiu,Tighnari
914a8a281b5711ee80b328c2dd2980ba,11,11-1,11-1-1,Kaedehara Kazuha,Xingqiu,Bennett,Xiangling
914a8a281b5711ee80b328c2dd2980ba,11,11-1,11-1-2,Nahida,Fischl,Sangonomiya Kokomi,Beidou
914a8a281b5711ee80b328c2dd2980ba,11,11-2,11-2-1,Kaedehara Kazuha,Xingqiu,Bennett,Xiangling
914a8a281b5711ee80b328c2dd2980ba,11,11-2,11-2-2,Nahida,Fischl,Sangonomiya Kokomi,Beidou
914a8a281b5711ee80b328c2dd2980ba,11,11-3,11-3-1,Kaedehara Kazuha,Xingqiu,Bennett,Xiangling
914a8a281b5711ee80b328c2dd2980ba,11,11-3,11-3-2,Nahida,Fischl,Sangonomiya Kokomi,Beidou
914a8a281b5711ee80b328c2dd2980ba,12,12-1,12-1-1,Kaedehara Kazuha,Fischl,Sangonomiya Kokomi,Beidou
