uid,phase,name,level,cons,weapon,artifacts,element
48153281209111ee80eb28c2dd2980ba,2.2b,Kamisato Ayaka,90,0,Amenoma Kageuchi,Blizzard Strayer,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Ganyu,90,1,Skyward Harp,Blizzard Strayer,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Keqing,90,3,The Black Sword,Thundering Fury,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Hu Tao,90,1,Primordial Jade Winged-Spear,Crimson Witch of Flames,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Raiden Shogun,90,1,Dragon's Bane,Flower of Paradise Lost,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Sangonomiya Kokomi,90,0,Sacrificial Fragments,Ocean-Hued Clam,Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Yae Miko,90,0,The Widsith,"Thundering Fury, Flex",Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Yelan,90,0,Aqua Simulacra,"Heart of Depth, Nymph's Dream",Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Nilou,90,0,Dull Blade,,Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Klee,89,0,Apprentice's Notes,"Emblem of Severed Fate, Flex",Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Tartaglia,89,0,Prototype Crescent,"Heart of Depth, Shimenawa's Reminiscence",Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Albedo,89,1,Cinnabar Spindle,"Husk of Opulent Dreams, Flex",Geo
48153281209111ee80eb28c2dd2980ba,2.2b,Kaedehara Kazuha,89,0,Favonius Sword,Viridescent Venerer,Anemo
48153281209111ee80eb28c2dd2980ba,2.2b,Nahida,89,0,A Thousand Floating Dreams,Deepwood Memories,Dendro
48153281209111ee80eb28c2dd2980ba,2.2b,Razor,89,6,Skyward Pride,Gladiator's Finale,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Amber,89,1,The Stringless,Instructor,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Xiangling,89,6,"""The Catch""",Emblem of Severed Fate,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Xingqiu,89,6,Favonius Sword,Emblem of Severed Fate,Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Ningguang,89,6,Dodoco Tales,,Geo
48153281209111ee80eb28c2dd2980ba,2.2b,Fischl,89,6,Elegy for the End,"Gladiator's Finale, Thundering Fury",Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Bennett,89,5,Favonius Sword,Noblesse Oblige,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Diona,89,6,Sacrificial Bow,"Tenacity of the Millelith, Vourukasha's Glow",Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Sucrose,89,6,Apprentice's Notes,,Anemo
48153281209111ee80eb28c2dd2980ba,2.2b,Yanfei,89,6,Solar Pearl,Crimson Witch of Flames,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Kujou Sara,89,6,Favonius Warbow,Emblem of Severed Fate,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Yun Jin,89,1,Skyward Spine,Shimenawa's Reminiscence,Geo
48153281209111ee80eb28c2dd2980ba,2.2b,Yaoyao,89,0,Favonius Lance,"Gilded Dreams, Flex",Dendro
48153281209111ee80eb28c2dd2980ba,2.2b,Traveler,80,6,Dull Blade,,Dendro
48153281209111ee80eb28c2dd2980ba,2.2b,Barbara,79,6,Thrilling Tales of Dragon Slayers,Flex,Hydro
48153281209111ee80eb28c2dd2980ba,2.2b,Beidou,70,6,Prototype Archaic,,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Qiqi,59,2,Toukabou Shigure,,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Aloy,50,0,Hunter's Bow,,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Lisa,50,0,Apprentice's Notes,,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Kaeya,50,4,Festering Desire,,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Chongyun,50,2,Sacrificial Greatsword,,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Xinyan,50,5,Serpent Spine,,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Jean,40,3,Lion's Roar,,Anemo
48153281209111ee80eb28c2dd2980ba,2.2b,Noelle,40,6,White Iron Greatsword,,Geo
48153281209111ee80eb28c2dd2980ba,2.2b,Sayu,23,5,Skyward Pride,"Emblem of Severed Fate, Flex",Anemo
48153281209111ee80eb28c2dd2980ba,2.2b,Thoma,22,5,Prototype Starglitter,,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Collei,22,1,Rust,Flex,Dendro
48153281209111ee80eb28c2dd2980ba,2.2b,Diluc,21,1,Waster Greatsword,,Pyro
48153281209111ee80eb28c2dd2980ba,2.2b,Rosaria,21,6,Beginner's Protector,,Cryo
48153281209111ee80eb28c2dd2980ba,2.2b,Gorou,21,1,Recurve Bow,"Instructor, Noblesse Oblige",Geo
48153281209111ee80eb28c2dd2980ba,2.2b,Dori,20,2,Rainslasher,,Electro
48153281209111ee80eb28c2dd2980ba,2.2b,Layla,20,0,Sacrificial Sword,,Cryo
4815594e209111ee9ea328c2dd2980ba,2.2b,Yoimiya,90,2,Thundering Pulse,"Echoes of an Offering, Gladiator's Finale",Pyro
4815594e209111ee9ea328c2dd2980ba,2.2b,Raiden Shogun,90,1,Engulfing Lightning,Emblem of Severed Fate,Electro
4815594e209111ee9ea328c2dd2980ba,2.2b,Fischl,89,6,Aqua Simulacra,"Emblem of Severed Fate, Flex",Electro
4815594e209111ee9ea328c2dd2980ba,2.2b,Sangonomiya Kokomi,89,0,Thrilling Tales of Dragon Slayers,Ocean-Hued Clam,Hydro
4815594e209111ee9ea328c2dd2980ba,2.2b,Yun Jin,89,6,"""The Catch""",Husk of Opulent Dreams,Geo
4815594e209111ee9ea328c2dd2980ba,2.2b,Klee,90,0,Lost Prayer to the Sacred Winds,Wanderer's Troupe,Pyro
4815594e209111ee9ea328c2dd2980ba,2.2b,Kamisato Ayato,90,0,The Black Sword,Nymph's Dream,Hydro
4815594e209111ee9ea328c2dd2980ba,2.2b,Qiqi,80,3,Favonius Sword,Ocean-Hued Clam,Cryo
4815594e209111ee9ea328c2dd2980ba,2.2b,Jean,90,2,Toukabou Shigure,,Anemo
4815594e209111ee9ea328c2dd2980ba,2.2b,Venti,90,0,Elegy for the End,Viridescent Venerer,Anemo
4815594e209111ee9ea328c2dd2980ba,2.2b,Arataki Itto,90,0,Snow-Tombed Starsilver,,Geo
4815594e209111ee9ea328c2dd2980ba,2.2b,Nahida,90,0,The Widsith,"Gilded Dreams, Wanderer's Troupe",Dendro
4815594e209111ee9ea328c2dd2980ba,2.2b,Wanderer,90,1,Solar Pearl,"Viridescent Venerer, Flex",Anemo
