uid,floor,chamber,half,ch1,ch2,ch3,ch4
770c8f5f507a11ee98f128c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Nahida,Yelan,Xingqiu
770c8f5f507a11ee98f128c2dd2980ba,11,11-1,11-1-2,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,11,11-2,11-2-1,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Nahida,Xingqiu,Yelan
770c8f5f507a11ee98f128c2dd2980ba,11,11-3,11-3-1,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Nahida,Xingqiu,Yelan
770c8f5f507a11ee98f128c2dd2980ba,12,12-1,12-1-1,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,12,12-1,12-1-2,Nahida,Raiden Shogun,Xingqiu,Sangonomiya Kokomi
770c8f5f507a11ee98f128c2dd2980ba,12,12-2,12-2-1,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,12,12-2,12-2-2,Nahida,Raiden Shogun,Xingqiu,Sangonomiya Kokomi
770c8f5f507a11ee98f128c2dd2980ba,12,12-3,12-3-1,Xiangling,Bennett,Tartaglia,Kaedehara Kazuha
770c8f5f507a11ee98f128c2dd2980ba,12,12-3,12-3-2,Nahida,Raiden Shogun,Xingqiu,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,11,11-1,11-1-1,Yoimiya,Fischl,Xingqiu,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,11,11-1,11-1-2,Lyney,Venti,Dehya,Bennett
770c8f60507a11ee8b9328c2dd2980ba,11,11-2,11-2-1,Yoimiya,Fischl,Xingqiu,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,11,11-2,11-2-2,Lyney,Venti,Dehya,Bennett
770c8f60507a11ee8b9328c2dd2980ba,11,11-3,11-3-1,Yoimiya,Fischl,Xingqiu,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,11,11-3,11-3-2,Lyney,Venti,Dehya,Bennett
770c8f60507a11ee8b9328c2dd2980ba,12,12-1,12-1-1,Kamisato Ayaka,Shenhe,Kaedehara Kazuha,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,12,12-1,12-1-2,Klee,Nahida,Xingqiu,Bennett
770c8f60507a11ee8b9328c2dd2980ba,12,12-2,12-2-1,Kamisato Ayaka,Shenhe,Kaedehara Kazuha,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,12,12-2,12-2-2,Klee,Nahida,Xingqiu,Bennett
770c8f60507a11ee8b9328c2dd2980ba,12,12-3,12-3-1,Kamisato Ayaka,Shenhe,Kaedehara Kazuha,Sangonomiya Kokomi
770c8f60507a11ee8b9328c2dd2980ba,12,12-3,12-3-2,Klee,Nahida,Xingqiu,Bennett
770c8f61507a11eeb94728c2dd2980ba,11,11-1,11-1-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,11,11-1,11-1-2,Lyney,Bennett,Kaedehara Kazuha,Thoma
770c8f61507a11eeb94728c2dd2980ba,11,11-2,11-2-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,11,11-2,11-2-2,Lyney,Bennett,Kaedehara Kazuha,Thoma
770c8f61507a11eeb94728c2dd2980ba,11,11-3,11-3-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,11,11-3,11-3-2,Lyney,Bennett,Kaedehara Kazuha,Thoma
770c8f61507a11eeb94728c2dd2980ba,12,12-1,12-1-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,12,12-1,12-1-2,Lyney,Bennett,Kaedehara Kazuha,Kuki Shinobu
770c8f61507a11eeb94728c2dd2980ba,12,12-2,12-2-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,12,12-2,12-2-2,Lyney,Bennett,Kaedehara Kazuha,Kuki Shinobu
770c8f61507a11eeb94728c2dd2980ba,12,12-3,12-3-1,Wanderer,Xingqiu,Mika,Faruzan
770c8f61507a11eeb94728c2dd2980ba,12,12-3,12-3-2,Lyney,Bennett,Kaedehara Kazuha,Kuki Shinobu
770c8f62507a11eeb28028c2dd2980ba,11,11-1,11-1-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f62507a11eeb28028c2dd2980ba,11,11-2,11-2-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f62507a11eeb28028c2dd2980ba,11,11-3,11-3-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f62507a11eeb28028c2dd2980ba,12,12-1,12-1-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f62507a11eeb28028c2dd2980ba,12,12-2,12-2-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f62507a11eeb28028c2dd2980ba,12,12-3,12-3-1,Nilou,Nahida,Sangonomiya Kokomi,Baizhu
770c8f62507a11eeb28028c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Bennett,Xiangling,Kaedehara Kazuha
770c8f63507a11ee9d7f28c2dd2980ba,11,11-1,11-1-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f63507a11ee9d7f28c2dd2980ba,11,11-1,11-1-2,Hu Tao,Yelan,Xingqiu,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,11,11-2,11-2-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f63507a11ee9d7f28c2dd2980ba,11,11-2,11-2-2,Hu Tao,Yelan,Xingqiu,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,11,11-3,11-3-1,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f63507a11ee9d7f28c2dd2980ba,11,11-3,11-3-2,Hu Tao,Yelan,Venti,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,12,12-1,12-1-1,Hu Tao,Yelan,Xingqiu,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,12,12-1,12-1-2,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f63507a11ee9d7f28c2dd2980ba,12,12-2,12-2-1,Hu Tao,Yelan,Xingqiu,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,12,12-2,12-2-2,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f63507a11ee9d7f28c2dd2980ba,12,12-3,12-3-1,Hu Tao,Yelan,Xingqiu,Zhongli
770c8f63507a11ee9d7f28c2dd2980ba,12,12-3,12-3-2,Eula,Raiden Shogun,Kaedehara Kazuha,Jean
770c8f64507a11eebc5828c2dd2980ba,11,11-1,11-1-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,11,11-1,11-1-2,Tartaglia,Xiangling,Sucrose,Bennett
770c8f64507a11eebc5828c2dd2980ba,11,11-2,11-2-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,11,11-2,11-2-2,Tartaglia,Xiangling,Sucrose,Bennett
770c8f64507a11eebc5828c2dd2980ba,11,11-3,11-3-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,11,11-3,11-3-2,Tartaglia,Xiangling,Sucrose,Bennett
770c8f64507a11eebc5828c2dd2980ba,12,12-1,12-1-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,12,12-1,12-1-2,Rosaria,Xiangling,Kaeya,Bennett
770c8f64507a11eebc5828c2dd2980ba,12,12-2,12-2-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,12,12-2,12-2-2,Rosaria,Xiangling,Kaeya,Bennett
770c8f64507a11eebc5828c2dd2980ba,12,12-3,12-3-1,Lisa,Nahida,Kaedehara Kazuha,Fischl
770c8f64507a11eebc5828c2dd2980ba,12,12-3,12-3-2,Rosaria,Xiangling,Kaeya,Bennett
770c8f65507a11eeb18b28c2dd2980ba,11,11-1,11-1-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett
770c8f65507a11eeb18b28c2dd2980ba,11,11-1,11-1-2,Yoimiya,Lynette,Yelan,Thoma
770c8f65507a11eeb18b28c2dd2980ba,11,11-2,11-2-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett
770c8f65507a11eeb18b28c2dd2980ba,11,11-2,11-2-2,Yoimiya,Lynette,Yelan,Thoma
770c8f65507a11eeb18b28c2dd2980ba,11,11-3,11-3-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett
770c8f65507a11eeb18b28c2dd2980ba,11,11-3,11-3-2,Yoimiya,Lynette,Yelan,Thoma
770c8f65507a11eeb18b28c2dd2980ba,12,12-1,12-1-1,Yoimiya,Lynette,Yelan,Thoma
770c8f65507a11eeb18b28c2dd2980ba,12,12-1,12-1-2,Dehya,Xiangling,Kaedehara Kazuha,Bennett
770c8f65507a11eeb18b28c2dd2980ba,12,12-2,12-2-1,Yoimiya,Lynette,Yelan,Thoma
770c8f65507a11eeb18b28c2dd2980ba,12,12-2,12-2-2,Dehya,Xiangling,Kaedehara Kazuha,Bennett
770c8f65507a11eeb18b28c2dd2980ba,12,12-3,12-3-1,Yoimiya,Lynette,Yelan,Thoma
