uid,phase,name,level,cons,weapon,artifacts,element
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Tartaglia,90,1,Polar Star,"Gladiator's Finale, Heart of Depth",Hydro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Wanderer,90,0,Tulaytullah's Remembrance,Desert Pavilion Chronicle,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Wriothesley,90,0,Skyward Atlas,Marechaussee Hunter,Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Yae Miko,90,0,Kagura's Verity,"Gladiator's Finale, Thundering Fury",Electro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Ganyu,90,0,Amos' Bow,Wanderer's Troupe,Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Alhaitham,90,0,Primordial Jade Cutter,"Gladiator's Finale, Wanderer's Troupe",Dendro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Yoimiya,90,0,Thundering Pulse,"Gladiator's Finale, Wanderer's Troupe",Pyro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Xiao,90,0,Primordial Jade Winged-Spear,"Gladiator's Finale, Shimenawa's Reminiscence",Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Venti,90,0,The Stringless,Viridescent Venerer,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Qiqi,90,3,Sacrificial Sword,Ocean-Hued Clam,Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Mona,90,4,Favonius Codex,"Heart of Depth, Noblesse Oblige",Hydro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Hu Tao,90,0,Dragon's Bane,Crimson Witch of Flames,Pyro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Kaedehara Kazuha,90,0,Favonius Sword,Viridescent Venerer,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Arataki Itto,90,1,Redhorn Stonethresher,Heart of Depth,Geo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Yelan,90,0,Favonius Warbow,Emblem of Severed Fate,Hydro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Nahida,90,0,Sacrificial Fragments,Deepwood Memories,Dendro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Razor,90,6,Mailed Flower,Gilded Dreams,Electro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Xiangling,90,5,"""The Catch""",Emblem of Severed Fate,Pyro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Beidou,90,6,Akuoumaru,Wanderer's Troupe,Electro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Xingqiu,90,6,Sacrificial Sword,Emblem of Severed Fate,Hydro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Fischl,90,6,Elegy for the End,Golden Troupe,Electro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Bennett,90,6,Sapwood Blade,Noblesse Oblige,Pyro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Diona,90,6,Sacrificial Bow,Deepwood Memories,Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Sucrose,90,6,Hakushin Ring,Viridescent Venerer,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Rosaria,90,4,Wavebreaker's Fin,Blizzard Strayer,Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Thoma,90,6,Favonius Lance,"Emblem of Severed Fate, Vourukasha's Glow",Pyro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Kirara,90,2,Festering Desire,Instructor,Dendro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Kuki Shinobu,90,2,Xiphos' Moonlight,Gilded Dreams,Electro
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Faruzan,90,6,Favonius Warbow,Tenacity of the Millelith,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Mika,90,1,Rightful Reward,"Emblem of Severed Fate, Maiden Beloved",Cryo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Traveler,90,6,Favonius Sword,"Gladiator's Finale, Noblesse Oblige",Geo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Jean,80,1,Amenoma Kageuchi,Viridescent Venerer,Anemo
98a140a177ef11eeb1fa28c2dd2980ba,2.2b,Diluc,80,2,Wolf's Gravestone,"Crimson Witch of Flames, Gladiator's Finale",Pyro
