uid,phase,name,level,cons,weapon,artifacts,element
7c42cccd92a611ee972a14dda990290e,2.2b,Venti,90,0,Windblume Ode,Viridescent Venerer,Anemo
7c42cccd92a611ee972a14dda990290e,2.2b,Xiao,90,0,Lithic Spear,"Gladiator's Finale, Vermillion Hereafter",Anemo
7c42cccd92a611ee972a14dda990290e,2.2b,Ganyu,90,0,Amos' Bow,Wanderer's Troupe,Cryo
7c42cccd92a611ee972a14dda990290e,2.2b,Albedo,90,0,Harbinger of Dawn,Husk of Opulent Dreams,Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Kaedehara Kazuha,90,1,Iron Sting,Viridescent Venerer,Anemo
7c42cccd92a611ee972a14dda990290e,2.2b,Sangonomiya Kokomi,90,0,Prototype Amber,Ocean-Hued Clam,Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Arataki Itto,90,0,Whiteblind,Husk of Opulent Dreams,Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Yelan,90,0,Aqua Simulacra,Emblem of Severed Fate,Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Kamisato Ayato,90,0,Haran Geppaku Futsu,Gladiator's Finale,Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Ningguang,90,6,Oathsworn Eye,Archaic Petra,Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Bennett,90,5,Aquila Favonia,Noblesse Oblige,Pyro
7c42cccd92a611ee972a14dda990290e,2.2b,Noelle,90,6,Serpent Spine,"Archaic Petra, Husk of Opulent Dreams",Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Furina,85,0,Festering Desire,Golden Troupe,Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Zhongli,82,0,Favonius Lance,"Maiden Beloved, Tenacity of the Millelith",Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Xiangling,81,6,Deathmatch,,Pyro
7c42cccd92a611ee972a14dda990290e,2.2b,Xingqiu,81,6,Sacrificial Sword,"Gladiator's Finale, Noblesse Oblige",Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Fischl,81,6,The Stringless,Gladiator's Finale,Electro
7c42cccd92a611ee972a14dda990290e,2.2b,Jean,80,2,Favonius Sword,Gladiator's Finale,Anemo
7c42cccd92a611ee972a14dda990290e,2.2b,Chongyun,80,6,Waster Greatsword,,Cryo
7c42cccd92a611ee972a14dda990290e,2.2b,Rosaria,80,3,Black Tassel,Noblesse Oblige,Cryo
7c42cccd92a611ee972a14dda990290e,2.2b,Gorou,80,5,Favonius Warbow,Noblesse Oblige,Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Shikanoin Heizou,80,1,The Widsith,"Gladiator's Finale, Viridescent Venerer",Anemo
7c42cccd92a611ee972a14dda990290e,2.2b,Yun Jin,71,2,"""The Catch""",Husk of Opulent Dreams,Geo
7c42cccd92a611ee972a14dda990290e,2.2b,Diluc,70,0,Luxurious Sea-Lord,,Pyro
7c42cccd92a611ee972a14dda990290e,2.2b,Mona,70,1,Apprentice's Notes,,Hydro
7c42cccd92a611ee972a14dda990290e,2.2b,Beidou,70,6,Waster Greatsword,,Electro
7c42cccd92a611ee972a14dda990290e,2.2b,Diona,70,6,Hunter's Bow,,Cryo
7c42cccd92a611ee972a14dda990290e,2.2b,Sucrose,70,6,Sacrificial Fragments,,Anemo
