uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
722ed5bdcbca11ee823928c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-12 03:26:39+00:00
722ed5bdcbca11ee823928c2dd2980ba,11,11-1,11-1-2,Beidou,Lisa,Jean,Xianyun,2024-02-12 03:27:26+00:00
722ed5bdcbca11ee823928c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-12 03:28:11+00:00
722ed5bdcbca11ee823928c2dd2980ba,11,11-2,11-2-2,Beidou,Lisa,Jean,Xianyun,2024-02-12 03:29:08+00:00
722ed5bdcbca11ee823928c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-12 03:29:47+00:00
722ed5bdcbca11ee823928c2dd2980ba,11,11-3,11-3-2,Beidou,Lisa,Jean,Xianyun,2024-02-12 03:30:26+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-1,12-1-1,Navia,Lisa,Jean,Furina,2024-02-12 03:33:38+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-12 03:35:24+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-2,12-2-1,Navia,Lisa,Jean,Furina,2024-02-12 03:40:45+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-12 03:42:03+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-3,12-3-1,Navia,Lisa,Jean,Furina,2024-02-12 03:44:16+00:00
722ed5bdcbca11ee823928c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-12 03:45:21+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Bennett,Amber,Chevreuse,2024-02-03 17:05:02+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-1,11-1-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-03 17:05:49+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Bennett,Amber,Chevreuse,2024-02-03 17:06:35+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-2,11-2-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-03 17:07:58+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Bennett,Amber,Chevreuse,2024-02-03 17:08:42+00:00
722ed5becbca11eebb0628c2dd2980ba,11,11-3,11-3-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-03 17:09:20+00:00
722ed5becbca11eebb0628c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-03 17:11:05+00:00
