uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
1ea0a585d62d11eeb61328c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-20 09:34:55+00:00
1ea0a585d62d11eeb61328c2dd2980ba,11,11-1,11-1-2,Beidou,Lisa,Jean,Xianyun,2024-02-20 09:35:58+00:00
1ea0a585d62d11eeb61328c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-20 09:38:19+00:00
1ea0a585d62d11eeb61328c2dd2980ba,11,11-2,11-2-2,Beidou,Lisa,Jean,Xianyun,2024-02-20 09:39:09+00:00
1ea0a585d62d11eeb61328c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Kujou Sara,Sangonomiya Kokomi,Kaedehara Kazuha,2024-02-20 09:40:05+00:00
1ea0a585d62d11eeb61328c2dd2980ba,11,11-3,11-3-2,Beidou,Lisa,Jean,Xianyun,2024-02-20 09:40:47+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-1,12-1-1,Navia,Lisa,Jean,Furina,2024-02-27 18:11:52+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-27 18:13:27+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-2,12-2-1,Navia,Lisa,Jean,Furina,2024-02-27 18:15:38+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-27 18:17:11+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-3,12-3-1,Navia,Lisa,Jean,Furina,2024-02-27 18:18:51+00:00
1ea0a585d62d11eeb61328c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Kujou Sara,Zhongli,Yelan,2024-02-27 18:20:01+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-1,11-1-1,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:23:05+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-1,11-1-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-23 11:23:49+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-2,11-2-1,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:24:48+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-2,11-2-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-23 11:25:48+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-3,11-3-1,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:26:38+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,11,11-3,11-3-2,Keqing,Nahida,Fischl,Kaedehara Kazuha,2024-02-23 11:27:09+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-23 11:30:54+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-1,12-1-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:32:31+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-23 11:33:44+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-2,12-2-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:34:38+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-23 11:36:21+00:00
1ea0a586d62d11eeb9c728c2dd2980ba,12,12-3,12-3-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-23 11:37:15+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-1,11-1-1,Yoimiya,Fischl,Beidou,Chevreuse,2024-02-17 17:08:17+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-1,11-1-2,Nahida,Xingqiu,Dehya,Kuki Shinobu,2024-02-17 17:08:59+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-2,11-2-1,Yoimiya,Fischl,Beidou,Chevreuse,2024-02-17 17:09:39+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-2,11-2-2,Nahida,Xingqiu,Dehya,Kuki Shinobu,2024-02-17 17:10:46+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-3,11-3-1,Yoimiya,Fischl,Beidou,Chevreuse,2024-02-17 17:11:39+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,11,11-3,11-3-2,Nahida,Xingqiu,Dehya,Kuki Shinobu,2024-02-17 17:12:26+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-1,12-1-1,Kamisato Ayaka,Rosaria,Venti,Mona,2024-02-17 17:36:37+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-1,12-1-2,Yoimiya,Fischl,Xingqiu,Bennett,2024-02-17 17:38:05+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-2,12-2-1,Lyney,Kaedehara Kazuha,Dehya,Bennett,2024-02-26 17:16:15+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-2,12-2-2,Xinyan,Candace,Nahida,Kuki Shinobu,2024-02-26 17:17:20+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-3,12-3-1,Kamisato Ayaka,Rosaria,Venti,Mona,2024-02-17 17:46:43+00:00
1ea0a587d62d11ee8c2628c2dd2980ba,12,12-3,12-3-2,Yoimiya,Fischl,Xingqiu,Bennett,2024-02-17 17:47:51+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-1,11-1-1,Xiao,Faruzan,Furina,Xianyun,2024-02-17 21:38:10+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-1,11-1-2,Kaedehara Kazuha,Bennett,Chongyun,Venti,2024-02-17 21:38:47+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-2,11-2-1,Xiao,Faruzan,Furina,Xianyun,2024-02-17 21:39:12+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Bennett,Chongyun,Venti,2024-02-17 21:40:10+00:00
